,SRC_obs,SubId,DrainArea,DA_error,Obs_NM,Use_region,DA_Obs,Region,Sub_Reg,DI,CheckArea,AreaError
96,US,1002971,94063886.9237,1.03264438611,07277548,0,91.0903,0001,00067,0.0,94063886.9237,0.0
97,US,1092509,39152744.4624,1.0721198407,03575700,0,36.519,0001,00039,0.0,39152744.46234,1.5324475045331143e-12
98,US,1090857,830946829.966,1.00259028712,03574500,0,828.8,0001,00039,0.0,830946829.96631,3.731446476957725e-13
99,US,1090933,205641653.457,1.08914021671,03576000,0,188.811,0001,00039,0.0,205641653.45702103,1.0231603982951091e-13
100,US,1001560,314495856.555,1.00352869126,07277700,0,313.39,0001,00067,0.0,314495856.55493003,2.2250166896577538e-13
101,US,1002102,3010206008.91,0.94876873656,07279500,0,3172.75,0001,00067,348.65259863755165,3010206008.905068,1.6384017282195182e-12
102,US,1030404,83162374.1903,0.99101928345,07263530,0,83.916,0001,00053,0.0,83162374.19038,9.62025618300586e-13
103,US,1091428,1721894638.87,0.99673790838,03592500,0,1727.53,0001,00039,18.735120246149464,1721894638.8675249,1.437383689908904e-12
104,US,1092510,19624073.5278,1.0870677713,0357568980,0,18.0523,0001,00039,0.0,19624073.52784,2.038233391141889e-12
105,US,1030136,408733008638.0,0.9961056041,07263620,1,410331.0,0001,00053,18.551663283604338,408733008638.43774,1.0709781969498189e-12
106,US,1090978,417203348.433,0.97037574646,03586500,0,429.94,0001,00039,0.0,417203348.433037,8.857762024092884e-14
107,US,1110864,65930937389.9,0.99612369994,07077800,0,66187.5,0001,00063,34.35665193621097,65930937389.94085,6.195540354408793e-13
108,US,1090999,112654931.591,1.04057685606,03575950,0,108.262,0001,00039,0.0,112654931.590621,3.3643536915146848e-12
109,US,1090755,25084182.6976,1.00466935939,03575980,0,24.9676,0001,00039,0.0,25084182.6976,0.0
110,US,1092587,126370983.408,0.99575276502,03575830,0,126.91,0001,00039,0.0,126370983.40820001,1.5826685853832003e-12
111,US,1031978,252867555.441,0.98818077721,07263555,0,255.892,0001,00053,0.0,252867555.44137,1.463200100139245e-12
112,US,1093432,14966356.8522,1.02820572227,03567129,0,14.5558,0001,00039,0.0,14966356.8522,0.0
113,US,1030175,434639430.011,0.99889554608,07263605,0,435.12,0001,00053,0.0,434639430.0108219,4.0976189984502743e-13
114,US,1030485,53216799.9639,1.00229400064,07263580,0,53.095,0001,00053,0.0,53216799.96392,3.7577152958668893e-13
115,US,1002392,1641777708.12,1.02737602431,07277500,0,1598.03,0001,00067,0.0,1641777708.1232443,1.9761506130627306e-12
116,US,1092257,23868447.8093,1.03198397702,03575933,0,23.1287,0001,00039,0.0,23868447.80928,8.379716926816196e-13
117,US,1092191,57798886.8584,0.98744126249,03575890,0,58.534,0001,00039,0.0,57798886.8585,1.730037508097483e-12
118,US,1002610,49554010.8795,0.99133796546,07269000,0,49.987,0001,00067,0.0,49554010.8795,0.0
119,US,1031688,572230824.513,1.06733595306,07264000,0,536.13,0001,00053,0.0,572230824.5133181,5.558078504284749e-13
120,US,1090782,963413226.725,0.99193125017,03575100,0,971.25,0001,00039,0.0,963413226.7241212,9.121847803104848e-13
121,US,1030162,408147928732.0,0.99738020804,07263500,1,409220.0,0001,00053,18.629114940940944,408147928732.9944,2.4363342200811156e-12
122,US,1092443,314177908.226,1.01936312328,03576250,0,308.21,0001,00039,0.0,314177908.226422,1.3431908290197302e-12
123,US,1091310,33697165.6237,0.94967070495,03589250,0,35.483,0001,00039,0.0,33697165.6237,0.0
124,US,1084414,14273936.7863,1.14339678514,07231965,0,12.4838,0001,00002,0.0,14273936.7863,0.0
125,US,1002358,2593580043.7,1.00138225625,07278500,0,2590.0,0001,00067,466.6023561095489,2593580043.695821,1.6112866324073143e-12
126,US,1002731,300495050.332,0.99163465773,07276500,0,303.03,0001,00067,0.0,300495050.3316,1.3311592675010838e-12
127,US,1090778,104562802.846,0.98708407215,03577225,0,105.931,0001,00039,0.0,104562802.846421,4.026312376398612e-12
128,US,1090977,470619438.696,0.96652312227,03587000,0,486.92,0001,00039,0.0,470619438.69583696,3.4639177657512033e-13
129,US,1031443,245397226.63,1.00475041304,07247250,0,244.237,0001,00053,0.0,245397226.62958002,1.7114061672776059e-12
131,US,1088817,510974897.281,0.9964020461,07229427,0,512.82,0001,00002,0.0,510974897.2812,3.913569615367313e-13
132,US,1093939,456449994.018,0.99568089789,03558000,0,458.43,0001,00039,0.0,456449994.01820993,4.599135976561045e-13
133,US,1110961,60206362987.5,0.9934059827,07077000,0,60606.0,0001,00063,41.306984662672996,60206362987.51664,2.763779216510882e-13
